ARK,ADD (32),RRF-a,C,DO,,,,IF,,,,,B9F8,7-25,,
ASI,ADD IMMEDIATE (328),SIY,C,GE,,A,,IF,£1,ST,B1,,EB6A,7-26,,
AU,ADD UNNORMALIZED (short HFP),RX-a,C,,"¤7,9",A,Da,,EO,LS,,B2,7E,18-9,,
AUR,ADD UNNORMALIZED (short HFP),RR,C,,"¤7,9",,Da,,EO,LS,,,3E,18-9,,
AW,ADD UNNORMALIZED (long HFP),RX-a,C,,"¤7,9",A,Da,,EO,LS,,B2,6E,18-9,,
AWR,ADD UNNORMALIZED (long HFP),RR,C,,"¤7,9",,Da,,EO,LS,,,2E,18-9,,
AXBR,ADD (extended BFP),RRE,C,,"¤7,9",SP,Db,Xi,Xo,Xu Xx,,,B34A,19-15,,
AXR,ADD NORMALIZED (extended HFP),RR,C,,"¤7,9",SP,Da,EU,EO,LS,,,36,18-8,,
AXTR,ADD (extended DFP),RRF-a,C,TF,"¤7,9",SP,Dt,Xi,Xo,Xu Xx,,,B3DA,20-18,,
AXTRA,ADD (extended DFP),RRF-a,C,F,"¤7,9",SP,Dt,Xi,Xo,Xu Xx Xq,,,B3DA,20-18,,
AY,ADD (32),RXY-a,C,LD,,A,,IF,,,,B2,E35A,7-25,,
BAKR,BRANCH AND STACK,RRE,,,¤1,A1 *,Z5,T,,B ST,,,B240,10-10,,
BAL,BRANCH AND LINK,RX-a,,,¤9,,,,,B,,,45,7-34,,
BALR,BRANCH AND LINK,RR,,,"¤2,9",,,T,,B,,,05,7-34,,
BAS,BRANCH AND SAVE,RX-a,,,¤9,,,,,B,,,4D,7-35,,
BASR,BRANCH AND SAVE,RR,,,"¤2,9",,,T,,B,,,0D,7-35,,
BASSM,BRANCH AND SAVE AND SET MODE,RR,,,"¤2,3,9",,,T,,B,,,0C,7-36,,
BC,BRANCH ON CONDITION,RX-b,,,¤9,,,,,B,,,47,7-37,,
BCR,BRANCH ON CONDITION,RR,,,¤9,,,,¢1,B,,,07,7-37,,
BCT,BRANCH ON COUNT (32),RX-a,,,¤9,,,,,B,,,46,7-38,,
BCTG,BRANCH ON COUNT (64),RXY-a,,N,¤9,,,,,B,,,E346,7-38,,
BCTGR,BRANCH ON COUNT (64),RRE,,N,¤9,,,,,B,,,B946,7-38,,
BCTR,BRANCH ON COUNT (32),RR,,,¤9,,,,,B,,,06,7-38,,
BPP,BRANCH PREDICTION PRELOAD,SMI,,EH,¤9,,,,,,,,C7,7-40,,
BPRP,BRANCH PREDICTION RELATIVE PRELOAD,MII,,EH,¤9,,,,,,,,C5,7-40,,
BRAS,BRANCH RELATIVE AND SAVE,RI-b,,,¤9,,,,,B,,,A75,7-43,,
BRASL,BRANCH RELATIVE AND SAVE LONG,RIL-b,,N3,¤9,,,,,B,,,C05,7-43,,
BRC,BRANCH RELATIVE ON CONDITION,RI-c,,,¤10,,,,,B,,,A74,7-44,,
BRCL,BRANCH RELATIVE ON CONDITION LONG,RIL-c,,N3,¤10,,,,,B,,,C04,7-44,,
BRCT,BRANCH RELATIVE ON COUNT (32),RI-b,,,¤9,,,,,B,,,A76,7-45,,
BRCTG,BRANCH RELATIVE ON COUNT (64),RI-b,,N,¤9,,,,,B,,,A77,7-45,,
BRCTH,BRANCH RELATIVE ON COUNT HIGH (32),RIL-b,,HW,¤9,,,,,B,,,CC6,7-45,,
BRXH,BRANCH RELATIVE ON INDEX HIGH (32),RSI,,,¤9,,,,,B,,,84,7-45,,
BRXHG,BRANCH RELATIVE ON INDEX HIGH (64),RIE-e,,N,¤9,,,,,B,,,EC44,7-45,,
BRXLE,BRANCH RELATIVE ON INDEX LOW OR EQ. (32),RSI,,,¤9,,,,,B,,,85,7-46,,
BRXLG,BRANCH RELATIVE ON INDEX LOW OR EQ. (64),RIE-e,,N,¤9,,,,,B,,,EC45,7-46,,
BSA,BRANCH AND SET AUTHORITY,RRE,,,Q,A1*,SO T,,,B,,,B25A,10-6,,
BSG,BRANCH IN SUBSPACE GROUP,RRE,,,¤1,A1 *,SO T,,,B,,R2,B258,10-12,,
BSM,BRANCH AND SET MODE,RR,,,"¤3,9",,,T,,B,,,0B,7-37,,
BXH,BRANCH ON INDEX HIGH (32),RS-a,,,¤9,,,,,B,,,86,7-39,,
BXHG,BRANCH ON INDEX HIGH (64),RSY-a,,N,¤9,,,,,B,,,EB44,7-39,,
BXLE,BRANCH ON INDEX LOW OR EQUAL (32),RS-a,,,¤9,,,,,B,,,87,7-39,,
BXLEG,BRANCH ON INDEX LOW OR EQUAL (64),RSY-a,,N,¤9,,,,,B,,,EB45,7-39,,
C,COMPARE (32),RX-a,C,,,A,,,,,,B2,59,7-117,,
CD,COMPARE (long HFP),RX-a,C,,"¤7,9",A,Da,,,,,B2,69,18-10,,
CDB,COMPARE (long BFP),RXE,C,,"¤7,9",A,Db,Xi,,,,B2,ED19,19-17,,
CDBR,COMPARE (long BFP),RRE,C,,"¤7,9",,Db,Xi,,,,,B319,19-17,,
CDFBR,CONVERT FROM FIXED (32 to long BFP),RRE,,,"¤7,9",,Db,,,,,,B395,19-19,,
CDFBRA,CONVERT FROM FIXED (32 to long BFP),RRF-e,,F,"¤7,9",SP Db,,,,,,,B395,19-19,,
CDFR,CONVERT FROM FIXED (32 to long HFP),RRE,,,"¤7,9",,Da,,,,,,B3B5,18-11,,
CDFTR,CONVERT FROM FIXED (32 to long DFP),RRE,,F,"¤7,9",,Dt,,,,,,B951,20-23,,
CDGBR,CONVERT FROM FIXED (64 to long BFP),RRE,,N,"¤7,9",,Db,,,Xx,,,B3A5,19-19,,
CDGBRA,CONVERT FROM FIXED (64 to long BFP),RRF-e,,F,"¤7,9",,SP Db,,,Xx,,B3A5,19-19,,,
CDGR,CONVERT FROM FIXED (64 to long HFP),RRE,,N,"¤7,9",,,Da,,,,B3C5,18-11,,,
CDGTR,CONVERT FROM FIXED (64 to long DFP),RRE,,TF,"¤7,9",,,Dt,,Xx,,B3F1,20-23,,,
CDGTRA,CONVERT FROM FIXED (64 to long DFP),RRF-e,,F,"¤7,9",,,Dt,,Xx Xq,,B3F1,20-23,,,
CDLFBR,CONVERT FROM LOGICAL (32 to long BFP),RRF-e,,F,"¤7,9",,SP Db,,,,,B391,19-21,,,
CDLFTR,CONVERT FROM LOGICAL (32 to long DFP),RRF-e,,F,"¤7,9",,,Dt,,,,B953,20-24,,,
CDLGBR,CONVERT FROM LOGICAL (64 to long BFP),RRF-e,,F,"¤7,9",,SP Db,,,Xx,,B3A1,19-21,,,
CDLGTR,CONVERT FROM LOGICAL (64 to long DFP),RRF-e,,F,"¤7,9",,,Dt,,Xx Xq,,B952,20-24,,,
CDPT,CONVERT FROM PACKED (to long DFP),RSL-b,,PC,"¤7,9",A,SP Dt,,Dg,,B2,EDAE,20-25,,,
CDR,COMPARE (long HFP),RR,C,,"¤7,9",,,Da,,,,29,18-10,,,
CDS,COMPARE DOUBLE AND SWAP (32),RS-a,C,,¤9,A,SP,,$,ST,B2,BB,7-127,,,
CDSG,COMPARE DOUBLE AND SWAP (64),RSY-a,C,N,¤9,A,SP,,$,ST,B2,EB3E,7-127,,,
CDSTR,CONVERT FROM SIGNED PACKED (64 to long DFP),RRE,,TF,"¤7,9",,,Dt,Dg,,,B3F3,20-27,,,
CDSY,COMPARE DOUBLE AND SWAP (32),RSY-a,C,LD,¤9,A,SP,,$,ST,B2,EB31,7-127,,,
CDTR,COMPARE (long DFP),RRE,C,TF,"¤7,9",,,Dt,Xi,,,B3E4,20-20,,,
CDUTR,CONVERT FROM UNSIGNED PACKED (64 to long,RRE,,TF,"¤7,9",,,Dt,Dg,,,B3F2,20-27,,,
CDZT,CONVERT FROM ZONED (to long DFP),RSL,,ZF,"¤7,9",A,SP Dt,,Dg,,B2,EDAA 20-28,,,,
CE,COMPARE (short HFP),RX-a,C,,"¤7,9",A,,Da,,,B2,79,18-10,,,
CEB,COMPARE (short BFP),RXE,C,,"¤7,9",A,,Db,Xi,,B2,ED09,19-17,,,
CEBR,COMPARE (short BFP),RRE,C,,"¤7,9",,,Db,Xi,,,B309,19-17,,,
CEDTR,COMPARE BIASED EXPONENT (long DFP),RRE,C,TF,"¤7,9",,,Dt,,,,B3F4,20-22,,,
CEFBR,CONVERT FROM FIXED (32 to short BFP),RRE,,,"¤7,9",,,Db,,Xx,,B394,19-19,,,
CEFBRA,CONVERT FROM FIXED (32 to short BFP),RRF-e,,F,"¤7,9",,SP Db,,,Xx,,B394,19-19,,,
CEFR,CONVERT FROM FIXED (32 to short HFP),RRE,,,"¤7,9",,,Da,,,,B3B4,18-11,,,
CEGBR,CONVERT FROM FIXED (64 to short BFP),RRE,,N,"¤7,9",,,Db,,Xx,,B3A4,19-19,,,
CEGBRA,CONVERT FROM FIXED (64 to short BFP),RRF-e,,F,"¤7,9",,SP Db,,,Xx,,B3A4,19-19,,,
CEGR,CONVERT FROM FIXED (64 to short HFP),RRE,,N,"¤7,9",,,Da,,,,B3C4,18-11,,,
CELFBR,CONVERT FROM LOGICAL (32 to short BFP),RRF-e,,F,"¤7,9",,SP Db,,,Xx,,B390,19-21,,,
CELGBR,CONVERT FROM LOGICAL (64 to short BFP),RRF-e,,F,"¤7,9",,SP Db,,,Xx,,B3A0,19-21,,,
CER,COMPARE (short HFP),RR,C,,"¤7,9",,,Da,,,,39,18-10,,,
CEXTR,COMPARE BIASED EXPONENT (extended DFP),RRE,C,TF,"¤7,9",,SP Dt,,,,,B3FC,20-22,,,
CFC,COMPARE AND FORM CODEWORD,S,C,,¤9,A,SP II,,GM I1,,,B21A,7-120,,,
CFDBR,CONVERT TO FIXED (long BFP to 32),RRF-e,C,,"¤7,9",,SP Db,,Xi,Xx,,B399,19-22,,,
CFDBRA,CONVERT TO FIXED (long BFP to 32),RRF-e,C,F,"¤7,9",,SP Db,,Xi,Xx,,B399,19-22,,,
CFDR,CONVERT TO FIXED (long HFP to 32),RRF-e,C,,"¤7,9",,SP Da,,,,,B3B9,18-11,,,
